"Story","Title","Result","Date","Stability","Duration (s)"
"prueba","Cualquiera","SUCCESS","2024-09-06T12:48:18.181185-05:00[America/Bogota]","0.0","10.89"
"Inicio de sesion","Inicio de sesion exitoso","SUCCESS","2024-09-06T13:13:11.547454-05:00[America/Bogota]","0.0","7.87"
